imageName latitude longitude altitude
DJI_0010.JPG 31.9695 35.4877 214.69
DJI_0120.JPG 31.9695 35.4865 214.763
DJI_0170.JPG 31.9695 35.4871 214.753
DJI_0180.JPG 31.9695 35.4872 214.74
DJI_0190.JPG 31.9695 35.4873 214.737
DJI_0210.JPG 31.9695 35.4875 214.773
DJI_0230.JPG 31.9695 35.4878 214.77
DJI_0240.JPG 31.9695 35.4879 214.762
DJI_0260.JPG 31.9695 35.4881 214.776
DJI_0270.JPG 31.9695 35.4883 214.751
DJI_0300.JPG 31.9695 35.4886 214.747
DJI_0310.JPG 31.9695 35.4887 214.754
DJI_0330.JPG 31.9695 35.489 214.758
DJI_0370.JPG 31.9695 35.4895 214.756
DJI_0380.JPG 31.9695 35.4896 214.749
DJI_0390.JPG 31.9695 35.4897 214.743
DJI_0400.JPG 31.9695 35.4898 214.77
DJI_0420.JPG 31.9694 35.4897 214.793
DJI_0450.JPG 31.9694 35.4893 214.791
DJI_0470.JPG 31.9694 35.4891 214.757
DJI_0500.JPG 31.9694 35.4887 214.732
DJI_0530.JPG 31.9694 35.4884 214.782
DJI_0540.JPG 31.9694 35.4882 214.763
DJI_0570.JPG 31.9694 35.4879 214.785
DJI_0580.JPG 31.9694 35.4878 214.769
DJI_0600.JPG 31.9694 35.4875 214.762
DJI_0610.JPG 31.9694 35.4874 214.77
DJI_0620.JPG 31.9694 35.4874 214.742
DJI_0650.JPG 31.9693 35.4887 214.727
DJI_0660.JPG 31.9693 35.4888 214.77
DJI_0670.JPG 31.9693 35.4889 214.783
DJI_0680.JPG 31.9693 35.4891 214.763
DJI_0690.JPG 31.9693 35.4892 214.765
DJI_0700.JPG 31.9693 35.4893 214.744
